CountryCode,Coordinates,Name,Comments,OffsetUTC,OffsetUTCDST,Notes,CountryCodeISO,CountryCodeISOWiki,Link,OffsetUTCMinutes,OffsetUTCDSTMinutes
CA,+744144-0944945,America/Resolute,"Central Standard Time - Resolute, Nunavut",-06:00,-05:00,,ISO 3166-1:CA,/wiki/ISO_3166-1:CA,,-360,-300
BR,-0958-06748,America/Rio_Branco,Acre,-04:00,-04:00,,ISO 3166-1:BR,/wiki/ISO_3166-1:BR,,-240,-240
,,America/Rosario,,-03:00,-03:00,Link to America/Argentina/Cordoba,,,America/Argentina/Cordoba,-180,-180
MX,+3018-11452,America/Santa_Isabel,Mexican Pacific Time - Baja California away from US border,-08:00,-07:00,,ISO 3166-1:MX,/wiki/ISO_3166-1:MX,,-480,-420
BR,-0226-05452,America/Santarem,W Para,-03:00,-03:00,,ISO 3166-1:BR,/wiki/ISO_3166-1:BR,,-180,-180
CL,-3327-07040,America/Santiago,most locations,-04:00,-03:00,,ISO 3166-1:CL,/wiki/ISO_3166-1:CL,,-240,-180
DO,+1828-06954,America/Santo_Domingo,,-04:00,-04:00,,ISO 3166-1:DO,/wiki/ISO_3166-1:DO,,-240,-240
BR,-2332-04637,America/Sao_Paulo,"S & SE Brazil (GO, DF, MG, ES, RJ, SP, PR, SC, RS)",-03:00,-02:00,,ISO 3166-1:BR,/wiki/ISO_3166-1:BR,,-180,-120
GL,+7029-02158,America/Scoresbysund,Scoresbysund / Ittoqqortoormiit,-01:00,+00:00,,ISO 3166-1:GL,/wiki/ISO_3166-1:GL,,-60,0
US,+364708-1084111,America/Shiprock,Mountain Time - Navajo,-07:00,-06:00,Link to America/Denver,ISO 3166-1:US,/wiki/ISO_3166-1:US,America/Denver,-420,-360
US,+571035-1351807,America/Sitka,Alaska Time - southeast Alaska panhandle,-09:00,-08:00,,ISO 3166-1:US,/wiki/ISO_3166-1:US,,-540,-480
BL,+1753-06251,America/St_Barthelemy,,-04:00,-04:00,Link to America/Guadeloupe,ISO 3166-1:BL,/wiki/ISO_3166-1:BL,America/Guadeloupe,-240,-240
CA,+4734-05243,America/St_Johns,"Newfoundland Time, including SE Labrador",-03:30,-02:30,,ISO 3166-1:CA,/wiki/ISO_3166-1:CA,,-210,-150
KN,+1718-06243,America/St_Kitts,,-04:00,-04:00,,ISO 3166-1:KN,/wiki/ISO_3166-1:KN,,-240,-240
LC,+1401-06100,America/St_Lucia,,-04:00,-04:00,,ISO 3166-1:LC,/wiki/ISO_3166-1:LC,,-240,-240
VI,+1821-06456,America/St_Thomas,,-04:00,-04:00,,ISO 3166-1:VI,/wiki/ISO_3166-1:VI,,-240,-240
VC,+1309-06114,America/St_Vincent,,-04:00,-04:00,,ISO 3166-1:VC,/wiki/ISO_3166-1:VC,,-240,-240
CA,+5017-10750,America/Swift_Current,Central Standard Time - Saskatchewan - midwest,-06:00,-06:00,,ISO 3166-1:CA,/wiki/ISO_3166-1:CA,,-360,-360
HN,+1406-08713,America/Tegucigalpa,,-06:00,-06:00,,ISO 3166-1:HN,/wiki/ISO_3166-1:HN,,-360,-360
GL,+7634-06847,America/Thule,Thule / Pituffik,-04:00,-03:00,,ISO 3166-1:GL,/wiki/ISO_3166-1:GL,,-240,-180
CA,+4823-08915,America/Thunder_Bay,"Eastern Time - Thunder Bay, Ontario",-05:00,-04:00,,ISO 3166-1:CA,/wiki/ISO_3166-1:CA,,-300,-240
MX,+3232-11701,America/Tijuana,US Pacific Time - Baja California near US border,-08:00,-07:00,,ISO 3166-1:MX,/wiki/ISO_3166-1:MX,,-480,-420
CA,+4339-07923,America/Toronto,Eastern Time - Ontario - most locations,-05:00,-04:00,,ISO 3166-1:CA,/wiki/ISO_3166-1:CA,,-300,-240
VG,+1827-06437,America/Tortola,,-04:00,-04:00,,ISO 3166-1:VG,/wiki/ISO_3166-1:VG,,-240,-240
CA,+4916-12307,America/Vancouver,Pacific Time - west British Columbia,-08:00,-07:00,,ISO 3166-1:CA,/wiki/ISO_3166-1:CA,,-480,-420
,,America/Virgin,,-04:00,-04:00,Link to America/St_Thomas,,,America/St_Thomas,-240,-240
CA,+6043-13503,America/Whitehorse,Pacific Time - south Yukon,-08:00,-07:00,,ISO 3166-1:CA,/wiki/ISO_3166-1:CA,,-480,-420
CA,+4953-09709,America/Winnipeg,Central Time - Manitoba & west Ontario,-06:00,-05:00,,ISO 3166-1:CA,/wiki/ISO_3166-1:CA,,-360,-300
US,+593249-1394338,America/Yakutat,Alaska Time - Alaska panhandle neck,-09:00,-08:00,,ISO 3166-1:US,/wiki/ISO_3166-1:US,,-540,-480
CA,+6227-11421,America/Yellowknife,Mountain Time - central Northwest Territories,-07:00,-06:00,,ISO 3166-1:CA,/wiki/ISO_3166-1:CA,,-420,-360
AQ,-6617+11031,Antarctica/Casey,"Casey Station, Bailey Peninsula",+11:00,+08:00,,ISO 3166-1:AQ,/wiki/ISO_3166-1:AQ,,660,480
AQ,-6835+07758,Antarctica/Davis,"Davis Station, Vestfold Hills",+05:00,+07:00,,ISO 3166-1:AQ,/wiki/ISO_3166-1:AQ,,300,420
AQ,-6640+14001,Antarctica/DumontDUrville,"Dumont-d'Urville Station, Terre Adelie",+10:00,+10:00,,ISO 3166-1:AQ,/wiki/ISO_3166-1:AQ,,600,600
AQ,-5430+15857,Antarctica/Macquarie,"Macquarie Island Station, Macquarie Island",+11:00,+11:00,,ISO 3166-1:AQ,/wiki/ISO_3166-1:AQ,,660,660
AQ,-6736+06253,Antarctica/Mawson,"Mawson Station, Holme Bay",+05:00,+05:00,,ISO 3166-1:AQ,/wiki/ISO_3166-1:AQ,,300,300
AQ,-7750+16636,Antarctica/McMurdo,"McMurdo Station, Ross Island",+12:00,+13:00,,ISO 3166-1:AQ,/wiki/ISO_3166-1:AQ,,720,780
AQ,-6448-06406,Antarctica/Palmer,"Palmer Station, Anvers Island",-04:00,-03:00,,ISO 3166-1:AQ,/wiki/ISO_3166-1:AQ,,-240,-180
AQ,-6734-06808,Antarctica/Rothera,"Rothera Station, Adelaide Island",-03:00,-03:00,,ISO 3166-1:AQ,/wiki/ISO_3166-1:AQ,,-180,-180
AQ,-9000+00000,Antarctica/South_Pole,"Amundsen-Scott Station, South Pole",+12:00,+13:00,Link to Antarctica/McMurdo,ISO 3166-1:AQ,/wiki/ISO_3166-1:AQ,Antarctica/McMurdo,720,780
AQ,-690022+0393524,Antarctica/Syowa,"Syowa Station, E Ongul I",+03:00,+03:00,,ISO 3166-1:AQ,/wiki/ISO_3166-1:AQ,,180,180
AQ,-7824+10654,Antarctica/Vostok,"Vostok Station, Lake Vostok",+06:00,+06:00,,ISO 3166-1:AQ,/wiki/ISO_3166-1:AQ,,360,360
SJ,+7800+01600,Arctic/Longyearbyen,,+01:00,+02:00,Link to Europe/Oslo,ISO 3166-1:SJ,/wiki/ISO_3166-1:SJ,Europe/Oslo,60,120
YE,+1245+04512,Asia/Aden,,+03:00,+03:00,,ISO 3166-1:YE,/wiki/ISO_3166-1:YE,,180,180
KZ,+4315+07657,Asia/Almaty,most locations,+06:00,+06:00,,ISO 3166-1:KZ,/wiki/ISO_3166-1:KZ,,360,360
JO,+3157+03556,Asia/Amman,,+03:00,+03:00,,ISO 3166-1:JO,/wiki/ISO_3166-1:JO,,180,180
RU,+6445+17729,Asia/Anadyr,Moscow+08 - Bering Sea,+12:00,+12:00,,ISO 3166-1:RU,/wiki/ISO_3166-1:RU,,720,720
KZ,+4431+05016,Asia/Aqtau,"Atyrau (Atirau, Gur'yev), Mangghystau (Mankistau)",+05:00,+05:00,,ISO 3166-1:KZ,/wiki/ISO_3166-1:KZ,,300,300
KZ,+5017+05710,Asia/Aqtobe,Aqtobe (Aktobe),+05:00,+05:00,,ISO 3166-1:KZ,/wiki/ISO_3166-1:KZ,,300,300
TM,+3757+05823,Asia/Ashgabat,,+05:00,+05:00,,ISO 3166-1:TM,/wiki/ISO_3166-1:TM,,300,300
,,Asia/Ashkhabad,,+05:00,+05:00,Link to Asia/Ashgabat,,,Asia/Ashgabat,300,300
IQ,+3321+04425,Asia/Baghdad,,+03:00,+03:00,,ISO 3166-1:IQ,/wiki/ISO_3166-1:IQ,,180,180
BH,+2623+05035,Asia/Bahrain,,+03:00,+03:00,,ISO 3166-1:BH,/wiki/ISO_3166-1:BH,,180,180
AZ,+4023+04951,Asia/Baku,,+04:00,+05:00,,ISO 3166-1:AZ,/wiki/ISO_3166-1:AZ,,240,300
TH,+1345+10031,Asia/Bangkok,,+07:00,+07:00,,ISO 3166-1:TH,/wiki/ISO_3166-1:TH,,420,420
LB,+3353+03530,Asia/Beirut,,+02:00,+03:00,,ISO 3166-1:LB,/wiki/ISO_3166-1:LB,,120,180
KG,+4254+07436,Asia/Bishkek,,+06:00,+06:00,,ISO 3166-1:KG,/wiki/ISO_3166-1:KG,,360,360
BN,+0456+11455,Asia/Brunei,,+08:00,+08:00,,ISO 3166-1:BN,/wiki/ISO_3166-1:BN,,480,480
,,Asia/Calcutta,,+05:30,+05:30,Link to Asia/Kolkata,,,Asia/Kolkata,330,330
MN,+4804+11430,Asia/Choibalsan,"Dornod, Sukhbaatar",+08:00,+08:00,,ISO 3166-1:MN,/wiki/ISO_3166-1:MN,,480,480
CN,+2934+10635,Asia/Chongqing,"central China - Sichuan, Yunnan, Guangxi, Shaanxi, Guizhou, etc.",+08:00,+08:00,Covering historic Kansu-Szechuan time zone.,ISO 3166-1:CN,/wiki/ISO_3166-1:CN,,480,480
,,Asia/Chungking,,+08:00,+08:00,Link to Asia/Chongqing,,,Asia/Chongqing,480,480
LK,+0656+07951,Asia/Colombo,,+05:30,+05:30,,ISO 3166-1:LK,/wiki/ISO_3166-1:LK,,330,330
,,Asia/Dacca,,+06:00,+06:00,Link to Asia/Dhaka,,,Asia/Dhaka,360,360
SY,+3330+03618,Asia/Damascus,,+02:00,+03:00,,ISO 3166-1:SY,/wiki/ISO_3166-1:SY,,120,180
BD,+2343+09025,Asia/Dhaka,,+06:00,+06:00,,ISO 3166-1:BD,/wiki/ISO_3166-1:BD,,360,360
TL,-0833+12535,Asia/Dili,,+09:00,+09:00,,ISO 3166-1:TL,/wiki/ISO_3166-1:TL,,540,540
AE,+2518+05518,Asia/Dubai,,+04:00,+04:00,,ISO 3166-1:AE,/wiki/ISO_3166-1:AE,,240,240
TJ,+3835+06848,Asia/Dushanbe,,+05:00,+05:00,,ISO 3166-1:TJ,/wiki/ISO_3166-1:TJ,,300,300
PS,+3130+03428,Asia/Gaza,Gaza Strip,+02:00,+03:00,,ISO 3166-1:PS,/wiki/ISO_3166-1:PS,,120,180
CN,+4545+12641,Asia/Harbin,"Heilongjiang (except Mohe), Jilin",+08:00,+08:00,Covering historic Changpai time zone.,ISO 3166-1:CN,/wiki/ISO_3166-1:CN,,480,480
PS,+313200+0350542,Asia/Hebron,West Bank,+02:00,+03:00,,ISO 3166-1:PS,/wiki/ISO_3166-1:PS,,120,180
VN,+1045+10640,Asia/Ho_Chi_Minh,,+07:00,+07:00,,ISO 3166-1:VN,/wiki/ISO_3166-1:VN,,420,420
HK,+2217+11409,Asia/Hong_Kong,,+08:00,+08:00,,ISO 3166-1:HK,/wiki/ISO_3166-1:HK,,480,480
MN,+4801+09139,Asia/Hovd,"Bayan-Olgiy, Govi-Altai, Hovd, Uvs, Zavkhan",+07:00,+07:00,,ISO 3166-1:MN,/wiki/ISO_3166-1:MN,,420,420
RU,+5216+10420,Asia/Irkutsk,Moscow+05 - Lake Baikal,+09:00,+09:00,,ISO 3166-1:RU,/wiki/ISO_3166-1:RU,,540,540
,,Asia/Istanbul,,+02:00,+03:00,Link to Europe/Istanbul,,,Europe/Istanbul,120,180
ID,-0610+10648,Asia/Jakarta,Java & Sumatra,+07:00,+07:00,,ISO 3166-1:ID,/wiki/ISO_3166-1:ID,,420,420
ID,-0232+14042,Asia/Jayapura,west New Guinea (Irian Jaya) & Malukus (Moluccas),+09:00,+09:00,,ISO 3166-1:ID,/wiki/ISO_3166-1:ID,,540,540
IL,+3146+03514,Asia/Jerusalem,,+02:00,+03:00,,ISO 3166-1:IL,/wiki/ISO_3166-1:IL,,120,180
AF,+3431+06912,Asia/Kabul,,+04:30,+04:30,,ISO 3166-1:AF,/wiki/ISO_3166-1:AF,,270,270
RU,+5301+15839,Asia/Kamchatka,Moscow+08 - Kamchatka,+12:00,+12:00,,ISO 3166-1:RU,/wiki/ISO_3166-1:RU,,720,720
PK,+2452+06703,Asia/Karachi,,+05:00,+05:00,,ISO 3166-1:PK,/wiki/ISO_3166-1:PK,,300,300
CN,+3929+07559,Asia/Kashgar,west Tibet & Xinjiang,+08:00,+08:00,Covering historic Kunlun time zone.,ISO 3166-1:CN,/wiki/ISO_3166-1:CN,,480,480
NP,+2743+08519,Asia/Kathmandu,,+05:45,+05:45,,ISO 3166-1:NP,/wiki/ISO_3166-1:NP,,345,345
,,Asia/Katmandu,,+05:45,+05:45,Link to Asia/Kathmandu,,,Asia/Kathmandu,345,345
IN,+2232+08822,Asia/Kolkata,,+05:30,+05:30,"Note: Different zones in history, see Time in India.",ISO 3166-1:IN,/wiki/ISO_3166-1:IN,,330,330
RU,+5601+09250,Asia/Krasnoyarsk,Moscow+04 - Yenisei River,+08:00,+08:00,,ISO 3166-1:RU,/wiki/ISO_3166-1:RU,,480,480
MY,+0310+10142,Asia/Kuala_Lumpur,peninsular Malaysia,+08:00,+08:00,,ISO 3166-1:MY,/wiki/ISO_3166-1:MY,,480,480
MY,+0133+11020,Asia/Kuching,Sabah & Sarawak,+08:00,+08:00,,ISO 3166-1:MY,/wiki/ISO_3166-1:MY,,480,480
KW,+2920+04759,Asia/Kuwait,,+03:00,+03:00,,ISO 3166-1:KW,/wiki/ISO_3166-1:KW,,180,180
,,Asia/Macao,,+08:00,+08:00,Link to Asia/Macau,,,Asia/Macau,480,480
MO,+2214+11335,Asia/Macau,,+08:00,+08:00,,ISO 3166-1:MO,/wiki/ISO_3166-1:MO,,480,480
RU,+5934+15048,Asia/Magadan,Moscow+08 - Magadan,+12:00,+12:00,,ISO 3166-1:RU,/wiki/ISO_3166-1:RU,,720,720
ID,-0507+11924,Asia/Makassar,"east & south Borneo, Sulawesi (Celebes), Bali, Nusa Tenggara, west Timor",+08:00,+08:00,,ISO 3166-1:ID,/wiki/ISO_3166-1:ID,,480,480
PH,+1435+12100,Asia/Manila,,+08:00,+08:00,,ISO 3166-1:PH,/wiki/ISO_3166-1:PH,,480,480
OM,+2336+05835,Asia/Muscat,,+04:00,+04:00,,ISO 3166-1:OM,/wiki/ISO_3166-1:OM,,240,240
CY,+3510+03322,Asia/Nicosia,,+02:00,+03:00,,ISO 3166-1:CY,/wiki/ISO_3166-1:CY,,120,180
RU,+5345+08707,Asia/Novokuznetsk,Moscow+03 - Novokuznetsk,+07:00,+07:00,,ISO 3166-1:RU,/wiki/ISO_3166-1:RU,,420,420
RU,+5502+08255,Asia/Novosibirsk,Moscow+03 - Novosibirsk,+07:00,+07:00,,ISO 3166-1:RU,/wiki/ISO_3166-1:RU,,420,420
RU,+5500+07324,Asia/Omsk,Moscow+03 - west Siberia,+07:00,+07:00,,ISO 3166-1:RU,/wiki/ISO_3166-1:RU,,420,420
KZ,+5113+05121,Asia/Oral,West Kazakhstan,+05:00,+05:00,,ISO 3166-1:KZ,/wiki/ISO_3166-1:KZ,,300,300
KH,+1133+10455,Asia/Phnom_Penh,,+07:00,+07:00,,ISO 3166-1:KH,/wiki/ISO_3166-1:KH,,420,420
ID,-0002+10920,Asia/Pontianak,west & central Borneo,+07:00,+07:00,,ISO 3166-1:ID,/wiki/ISO_3166-1:ID,,420,420
KP,+3901+12545,Asia/Pyongyang,,+09:00,+09:00,,ISO 3166-1:KP,/wiki/ISO_3166-1:KP,,540,540
QA,+2517+05132,Asia/Qatar,,+03:00,+03:00,,ISO 3166-1:QA,/wiki/ISO_3166-1:QA,,180,180
KZ,+4448+06528,Asia/Qyzylorda,"Qyzylorda (Kyzylorda, Kzyl-Orda)",+06:00,+06:00,,ISO 3166-1:KZ,/wiki/ISO_3166-1:KZ,,360,360
MM,+1647+09610,Asia/Rangoon,,+06:30,+06:30,,ISO 3166-1:MM,/wiki/ISO_3166-1:MM,,390,390
SA,+2438+04643,Asia/Riyadh,,+03:00,+03:00,,ISO 3166-1:SA,/wiki/ISO_3166-1:SA,,180,180
,,Asia/Saigon,,+07:00,+07:00,Link to Asia/Ho_Chi_Minh,,,Asia/Ho_Chi_Minh,420,420
RU,+4658+14242,Asia/Sakhalin,Moscow+07 - Sakhalin Island,+11:00,+11:00,,ISO 3166-1:RU,/wiki/ISO_3166-1:RU,,660,660
UZ,+3940+06648,Asia/Samarkand,west Uzbekistan,+05:00,+05:00,,ISO 3166-1:UZ,/wiki/ISO_3166-1:UZ,,300,300
KR,+3733+12658,Asia/Seoul,,+09:00,+09:00,,ISO 3166-1:KR,/wiki/ISO_3166-1:KR,,540,540
CN,+3114+12128,Asia/Shanghai,"east China - Beijing, Guangdong, Shanghai, etc.",+08:00,+08:00,Covering historic Chungyuan time zone.,ISO 3166-1:CN,/wiki/ISO_3166-1:CN,,480,480
SG,+0117+10351,Asia/Singapore,,+08:00,+08:00,,ISO 3166-1:SG,/wiki/ISO_3166-1:SG,,480,480
TW,+2503+12130,Asia/Taipei,,+08:00,+08:00,,ISO 3166-1:TW,/wiki/ISO_3166-1:TW,,480,480
UZ,+4120+06918,Asia/Tashkent,east Uzbekistan,+05:00,+05:00,,ISO 3166-1:UZ,/wiki/ISO_3166-1:UZ,,300,300
GE,+4143+04449,Asia/Tbilisi,,+04:00,+04:00,,ISO 3166-1:GE,/wiki/ISO_3166-1:GE,,240,240
IR,+3540+05126,Asia/Tehran,,+03:30,+04:30,,ISO 3166-1:IR,/wiki/ISO_3166-1:IR,,210,270
,,Asia/Tel_Aviv,,+02:00,+03:00,Link to Asia/Jerusalem,,,Asia/Jerusalem,120,180
,,Asia/Thimbu,,+06:00,+06:00,Link to Asia/Thimphu,,,Asia/Thimphu,360,360
BT,+2728+08939,Asia/Thimphu,,+06:00,+06:00,,ISO 3166-1:BT,/wiki/ISO_3166-1:BT,,360,360
JP,+353916+1394441,Asia/Tokyo,,+09:00,+09:00,,ISO 3166-1:JP,/wiki/ISO_3166-1:JP,,540,540
,,Asia/Ujung_Pandang,,+08:00,+08:00,Link to Asia/Makassar,,,Asia/Makassar,480,480
MN,+4755+10653,Asia/Ulaanbaatar,most locations,+08:00,+08:00,,ISO 3166-1:MN,/wiki/ISO_3166-1:MN,,480,480
,,Asia/Ulan_Bator,,+08:00,+08:00,Link to Asia/Ulaanbaatar,,,Asia/Ulaanbaatar,480,480
CN,+4348+08735,Asia/Urumqi,most of Tibet & Xinjiang,+08:00,+08:00,Covering historic Sinkiang-Tibet time zone.,ISO 3166-1:CN,/wiki/ISO_3166-1:CN,,480,480
LA,+1758+10236,Asia/Vientiane,,+07:00,+07:00,,ISO 3166-1:LA,/wiki/ISO_3166-1:LA,,420,420
RU,+4310+13156,Asia/Vladivostok,Moscow+07 - Amur River,+11:00,+11:00,,ISO 3166-1:RU,/wiki/ISO_3166-1:RU,,660,660
RU,+6200+12940,Asia/Yakutsk,Moscow+06 - Lena River,+10:00,+10:00,,ISO 3166-1:RU,/wiki/ISO_3166-1:RU,,600,600
RU,+5651+06036,Asia/Yekaterinburg,Moscow+02 - Urals,+06:00,+06:00,,ISO 3166-1:RU,/wiki/ISO_3166-1:RU,,360,360
AM,+4011+04430,Asia/Yerevan,,+04:00,+04:00,,ISO 3166-1:AM,/wiki/ISO_3166-1:AM,,240,240
PT,+3744-02540,Atlantic/Azores,Azores,-01:00,+00:00,,ISO 3166-1:PT,/wiki/ISO_3166-1:PT,,-60,0
BM,+3217-06446,Atlantic/Bermuda,,-04:00,-03:00,,ISO 3166-1:BM,/wiki/ISO_3166-1:BM,,-240,-180
ES,+2806-01524,Atlantic/Canary,Canary Islands,+00:00,+01:00,,ISO 3166-1:ES,/wiki/ISO_3166-1:ES,,0,60
CV,+1455-02331,Atlantic/Cape_Verde,,-01:00,-01:00,,ISO 3166-1:CV,/wiki/ISO_3166-1:CV,,-60,-60
,,Atlantic/Faeroe,,+00:00,+01:00,Link to Atlantic/Faroe,,,Atlantic/Faroe,0,60
FO,+6201-00646,Atlantic/Faroe,,+00:00,+01:00,,ISO 3166-1:FO,/wiki/ISO_3166-1:FO,,0,60
,,Atlantic/Jan_Mayen,,+01:00,+02:00,Link to Europe/Oslo,,,Europe/Oslo,60,120
PT,+3238-01654,Atlantic/Madeira,Madeira Islands,+00:00,+01:00,,ISO 3166-1:PT,/wiki/ISO_3166-1:PT,,0,60
IS,+6409-02151,Atlantic/Reykjavik,,+00:00,+00:00,,ISO 3166-1:IS,/wiki/ISO_3166-1:IS,,0,0
GS,-5416-03632,Atlantic/South_Georgia,,-02:00,-02:00,,ISO 3166-1:GS,/wiki/ISO_3166-1:GS,,-120,-120
SH,-1555-00542,Atlantic/St_Helena,,+00:00,+00:00,,ISO 3166-1:SH,/wiki/ISO_3166-1:SH,,0,0
FK,-5142-05751,Atlantic/Stanley,,-03:00,-03:00,,ISO 3166-1:FK,/wiki/ISO_3166-1:FK,,-180,-180
,,Australia/ACT,,+10:00,+11:00,Link to Australia/Sydney,,,Australia/Sydney,600,660
AU,-3455+13835,Australia/Adelaide,South Australia,+09:30,+10:30,,ISO 3166-1:AU,/wiki/ISO_3166-1:AU,,570,630
AU,-2728+15302,Australia/Brisbane,Queensland - most locations,+10:00,+10:00,,ISO 3166-1:AU,/wiki/ISO_3166-1:AU,,600,600
AU,-3157+14127,Australia/Broken_Hill,New South Wales - Yancowinna,+09:30,+10:30,,ISO 3166-1:AU,/wiki/ISO_3166-1:AU,,570,630
,,Australia/Canberra,,+10:00,+11:00,Link to Australia/Sydney,,,Australia/Sydney,600,660
AU,-3956+14352,Australia/Currie,Tasmania - King Island,+10:00,+11:00,,ISO 3166-1:AU,/wiki/ISO_3166-1:AU,,600,660
AU,-1228+13050,Australia/Darwin,Northern Territory,+09:30,+09:30,,ISO 3166-1:AU,/wiki/ISO_3166-1:AU,,570,570
AU,-3143+12852,Australia/Eucla,Western Australia - Eucla area,+08:45,+08:45,,ISO 3166-1:AU,/wiki/ISO_3166-1:AU,,525,525
AU,-4253+14719,Australia/Hobart,Tasmania - most locations,+10:00,+11:00,,ISO 3166-1:AU,/wiki/ISO_3166-1:AU,,600,660
,,Australia/LHI,,+10:30,+11:00,Link to Australia/Lord_Howe,,,Australia/Lord_Howe,630,660
AU,-2016+14900,Australia/Lindeman,Queensland - Holiday Islands,+10:00,+10:00,,ISO 3166-1:AU,/wiki/ISO_3166-1:AU,,600,600
AU,-3133+15905,Australia/Lord_Howe,Lord Howe Island,+10:30,+11:00,,ISO 3166-1:AU,/wiki/ISO_3166-1:AU,,630,660
AU,-3749+14458,Australia/Melbourne,Victoria,+10:00,+11:00,,ISO 3166-1:AU,/wiki/ISO_3166-1:AU,,600,660
,,Australia/North,,+09:30,+09:30,Link to Australia/Darwin,,,Australia/Darwin,570,570
,,Australia/NSW,,+10:00,+11:00,Link to Australia/Sydney,,,Australia/Sydney,600,660
AU,-3157+11551,Australia/Perth,Western Australia - most locations,+08:00,+08:00,,ISO 3166-1:AU,/wiki/ISO_3166-1:AU,,480,480
,,Australia/Queensland,,+10:00,+10:00,Link to Australia/Brisbane,,,Australia/Brisbane,600,600
,,Australia/South,,+09:30,+10:30,Link to Australia/Adelaide,,,Australia/Adelaide,570,630
AU,-3352+15113,Australia/Sydney,New South Wales - most locations,+10:00,+11:00,,ISO 3166-1:AU,/wiki/ISO_3166-1:AU,,600,660
,,Australia/Tasmania,,+10:00,+11:00,Link to Australia/Hobart,,,Australia/Hobart,600,660
,,Australia/Victoria,,+10:00,+11:00,Link to Australia/Melbourne,,,Australia/Melbourne,600,660
,,Australia/West,,+08:00,+08:00,Link to Australia/Perth,,,Australia/Perth,480,480
,,Australia/Yancowinna,,+09:30,+10:30,Link to Australia/Broken_Hill,,,Australia/Broken_Hill,570,630
,,Brazil/Acre,,-04:00,-04:00,Link to America/Rio_Branco,,,America/Rio_Branco,-240,-240
,,Brazil/DeNoronha,,-02:00,-02:00,Link to America/Noronha,,,America/Noronha,-120,-120
,,Brazil/East,,-03:00,-02:00,Link to America/Sao_Paulo,,,America/Sao_Paulo,-180,-120
,,Brazil/West,,-04:00,-04:00,Link to America/Manaus,,,America/Manaus,-240,-240
,,Canada/Atlantic,,-04:00,-03:00,Link to America/Halifax,,,America/Halifax,-240,-180
,,Canada/Central,,-06:00,-05:00,Link to America/Winnipeg,,,America/Winnipeg,-360,-300
,,Canada/Eastern,,-05:00,-04:00,Link to America/Toronto,,,America/Toronto,-300,-240
,,Canada/East-Saskatchewan,,-06:00,-06:00,Link to America/Regina,,,America/Regina,-360,-360
,,Canada/Mountain,,-07:00,-06:00,Link to America/Edmonton,,,America/Edmonton,-420,-360
,,Canada/Newfoundland,,-03:30,-02:30,Link to America/St_Johns,,,America/St_Johns,-210,-150
,,Canada/Pacific,,-08:00,-07:00,Link to America/Vancouver,,,America/Vancouver,-480,-420
,,Canada/Saskatchewan,,-06:00,-06:00,Link to America/Regina,,,America/Regina,-360,-360
,,Canada/Yukon,,-08:00,-07:00,Link to America/Whitehorse,,,America/Whitehorse,-480,-420
,,CET,,+01:00,+02:00,,,,,60,120
,,Chile/Continental,,-04:00,-03:00,Link to America/Santiago,,,America/Santiago,-240,-180
,,Chile/EasterIsland,,-06:00,-05:00,Link to Pacific/Easter,,,Pacific/Easter,-360,-300
,,CST6CDT,,-06:00,-05:00,,,,,-360,-300
,,Cuba,,-05:00,-04:00,Link to America/Havana,,,America/Havana,-300,-240
,,EET,,+02:00,+03:00,,,,,120,180
,,Egypt,,+02:00,+02:00,Link to Africa/Cairo,,,Africa/Cairo,120,120
,,Eire,,+00:00,+01:00,Link to Europe/Dublin,,,Europe/Dublin,0,60
,,EST,,-05:00,-05:00,,,,,-300,-300
,,EST5EDT,,-05:00,-04:00,,,,,-300,-240
,,Etc./GMT,,+00:00,+00:00,Link to UTC,,,UTC,0,0
,,Etc./GMT+0,,+00:00,+00:00,Link to UTC,,,UTC,0,0
,,Etc./UCT,,+00:00,+00:00,Link to UTC,,,UTC,0,0
,,Etc./Universal,,+00:00,+00:00,Link to UTC,,,UTC,0,0
,,Etc./UTC,,+00:00,+00:00,Link to UTC,,,UTC,0,0
,,Etc./Zulu,,+00:00,+00:00,Link to UTC,,,UTC,0,0
NL,+5222+00454,Europe/Amsterdam,,+01:00,+02:00,,ISO 3166-1:NL,/wiki/ISO_3166-1:NL,,60,120
AD,+4230+00131,Europe/Andorra,,+01:00,+02:00,,ISO 3166-1:AD,/wiki/ISO_3166-1:AD,,60,120
GR,+3758+02343,Europe/Athens,,+02:00,+03:00,,ISO 3166-1:GR,/wiki/ISO_3166-1:GR,,120,180
,,Europe/Belfast,,+00:00,+01:00,Link to Europe/London,,,Europe/London,0,60
RS,+4450+02030,Europe/Belgrade,,+01:00,+02:00,,ISO 3166-1:RS,/wiki/ISO_3166-1:RS,,60,120
DE,+5230+01322,Europe/Berlin,,+01:00,+02:00,"In 1945, the Trizone did not follow Berlin's switch to DST, see Time in Germany",ISO 3166-1:DE,/wiki/ISO_3166-1:DE,,60,120
SK,+4809+01707,Europe/Bratislava,,+01:00,+02:00,Link to Europe/Prague,ISO 3166-1:SK,/wiki/ISO_3166-1:SK,Europe/Prague,60,120
BE,+5050+00420,Europe/Brussels,,+01:00,+02:00,,ISO 3166-1:BE,/wiki/ISO_3166-1:BE,,60,120
RO,+4426+02606,Europe/Bucharest,,+02:00,+03:00,,ISO 3166-1:RO,/wiki/ISO_3166-1:RO,,120,180
